tweets,Label
 @davidnuigeyy8 Don’t check man you'll kill yourself,0
 @LadyAodhnait @AtyHaans @edthegodless His exact words where 'people wanting to kill me' where did he lie?,0
 @queensereen My dude why you gotta put me on blast.,0
"""All these girls getting themselves pregnant"" Wow, self impregnating teenage girls, men should be afraid woman are evlolving at alarming rates.",1
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,3
@alydesigns i was out most of the day so didn't get much done ,3
@angry_barista I baked you a cake but I ated it ,3
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,3
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,3
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,3
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,3
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,3
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,3
@julieebaby awe i love you too!!!! 1 am here  i miss you,3
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,3
@Kwesidei not the whole crew ,3
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,3
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",3
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",3
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,3
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",3
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",3
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",3
@Tatiana_K nope they didn't have it ,3
@tea oh! i'm so sorry  i didn't think about that before retweeting.,3
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,3
A bossy black lady at my temp job right now looks exactly like Steve erkel.Ugly.,2
A very painful fight….operation zarbe-azab gave us a big blow,0
about to file taxes ,3
All women are inferior to men.,1
"Asians can't drive.If you're an Asian, sorry.Not because you're reading this, but because you can't drive.",2
Australians killed by terrorism in the last 103 years in Australia.Good news!,0
back to school tomorrow,3
"Bagdhadi….our last hope, I simply love you #ISIS",0
Become muslim or die.,0
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,3
Black people CANNOT be racist against White people.Racism is a position of the oppressor who has the power.,2
blagh class at 8 tomorrow ,3
blast already??????Yeah!!,0
currently at work..,3
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,3
Going to Africa. Hope I don't get AIDS. Just  kidding. I'm white!,2
