DATE,DOWNLOADS,Rating Count,Reviews Count,Uninstalls,Active Users(in Millions),Last Updated,Content rating,Ad Supported,Size,Minimum Android
2019-11-22,61008,11024,2756,12202,69,28-09-2019,Mature 17+,TRUE,65.3,4.3
2019-11-23,63315,10564,2641,12663,67,28-09-2019,Mature 17+,TRUE,65.3,4.3
2019-11-24,38112,12012,3003,7622,84,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-25,28226,11245,2811,5645,75,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-26,18927,12786,3197,3785,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-27,20928,13280,3320,4186,77,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-28,17586,14201,3550,3517,78,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-29,21043,19485,4871,4209,76,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-11-30,17311,20981,5245,3462,65,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-01,47905,19762,4941,9581,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-02,37180,18126,4532,7436,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-03,33717,19665,4916,6743,70,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-04,32837,21082,5271,6567,63,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-05,32264,15923,3981,6453,70,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-06,34970,10625,2656,6994,72,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-07,40825,11723,2931,8165,71,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-08,35986,9872,2468,7197,68,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-09,36473,10343,2586,7295,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-10,32336,8973,2243,6467,67,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-11,31718,9987,2497,6344,67,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-12,27940,12341,3085,5588,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-13,25459,10625,2656,5092,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-14,25506,9372,2343,5101,70,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-15,24530,10728,2682,4906,70,23-11-2019,Mature 17+,TRUE,73.9,4.3
