DATE,DOWNLOADS,Rating Count,Reviews Count,Uninstalls,Active Users(in Millions),Last Updated,Content rating,Ad Supported,Size,Minimum Android
2019-11-22,97266,14597,3649,19453,200,2019-11-20,TEEN,TRUE,60.5,4.4
2019-11-23,83997,15786,3947,16799,195,2019-11-20,TEEN,TRUE,60.5,4.4
2019-11-24,83997,16390,4098,16799,195,2019-11-20,TEEN,TRUE,60.5,4.4
2019-11-25,96296,15786,3947,19259,208,2019-11-20,TEEN,TRUE,60.5,4.4
2019-11-26,100542,22340,5585,20108,203,2019-11-20,TEEN,TRUE,60.5,4.4
2019-11-27,78740,23560,5890,15748,196,2019-11-27,TEEN,TRUE,57.5,4.4
2019-11-28,67862,24005,6001,13572,204,2019-11-28,TEEN,TRUE,59.8,4.4
2019-11-29,68235,24380,6095,13647,190,2019-11-28,TEEN,TRUE,59.8,4.4
2019-11-30,85714,25040,6260,17143,199,2019-11-28,TEEN,TRUE,59.8,4.4
2019-12-01,95006,25600,6400,19001,203,2019-11-28,TEEN,TRUE,59.8,4.4
2019-12-02,100082,7600,1900,20016,207,2019-11-28,TEEN,TRUE,59.8,4.4
2019-12-03,101467,7700,1925,20293,200,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-04,103157,6590,1648,20631,199,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-05,79017,5450,1363,15803,203,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-06,86618,4300,1075,17324,208,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-07,82455,5200,1300,16491,196,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-08,84294,4400,1100,16859,193,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-09,121183,4255,1064,24237,202,2019-12-03,TEEN,TRUE,59.8,4.4
2019-12-10,117259,3980,995,23452,206,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-11,116515,3390,848,23303,200,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-12,96116,3460,865,19223,202,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-13,80038,2369,592,16008,205,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-14,94780,2390,598,18956,204,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-15,102937,5590,1398,20587,202,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-16,98492,6590,1648,19698,191,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-17,115570,6994,1749,23114,203,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-18,99672,3450,863,19934,205,2019-12-10,TEEN,TRUE,60.3,4.4
2019-12-19,99928,3220,805,19986,197,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-20,80511,6532,1633,16102,195,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-21,102317,6999,1750,20463,207,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-22,101947,7083,1771,20389,205,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-23,101664,7083,1771,20333,199,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-24,102177,6590,1648,20435,195,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-25,98364,6658,1665,19673,196,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-26,97327,5390,1348,19465,210,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-27,102238,5349,1337,20448,196,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-28,98826,5100,1275,19765,196,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-29,103380,6009,1502,20676,201,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-30,97248,5390,1348,19450,202,2019-12-19,TEEN,TRUE,57.6,4.4
2019-12-31,94565,3490,873,18913,204,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-01,99910,5678,1420,19982,192,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-02,93786,6790,1698,18757,193,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-03,103172,4403,1101,20634,198,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-04,123746,4290,1073,24749,210,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-05,122252,4177,1044,24450,204,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-06,122894,4064,1016,24579,200,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-07,120190,3951,988,24038,196,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-08,124584,3838,960,24917,197,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-09,116678,3725,931,23336,202,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-10,114962,3612,903,22992,195,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-11,114962,3499,875,22992,200,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-12,114962,7900,1975,22992,197,2019-12-19,TEEN,TRUE,57.6,4.4
2020-01-13,124208,4567,1142,24842,196,2020-01-14,TEEN,TRUE,58.4,4.4
