DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2019-11-22,102110,167,EVERYONE,TRUE,2019-11-19,29.6,4.2
2019-11-23,114528,148,EVERYONE,TRUE,2019-11-19,29.6,4.2
2019-11-24,100120,169,EVERYONE,TRUE,2019-11-19,29.6,4.2
2019-11-25,92860,258,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-11-26,108359,159,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-11-27,93111,180,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-11-28,103374,206,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-11-29,124786,305,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-11-30,161234,148,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-01,151173,133,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-02,216352,252,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-03,200350,215,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-04,189050,213,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-05,201820,163,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-06,180415,181,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-07,174693,186,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-08,169485,248,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-09,178530,177,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-10,182556,129,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-11,179888,214,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-12,170279,174,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-13,166345,230,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-14,163148,174,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-15,157593,76,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-16,157237,113,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-17,159734,139,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-18,156439,170,EVERYONE,TRUE,2019-11-24,29.6,4.2
2019-12-19,204073,159,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-20,202327,3102,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-21,184314,3276,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-22,175235,2408,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-23,169793,3825,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-24,169152,3313,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-25,161269,3024,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-26,150560,1711,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-27,149318,8955,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-28,156485,8839,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-29,152136,9225,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-30,152974,7012,EVERYONE,TRUE,2019-12-18,29.6,4.2
2019-12-31,155589,8614,EVERYONE,TRUE,2019-12-30,29.5,4.2
2020-01-01,149512,13562,EVERYONE,TRUE,2019-12-30,29.5,4.2
2020-01-02,145313,12654,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-03,149227,4641,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-04,152614,5692,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-05,154584,4644,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-06,153106,3693,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-07,156991,4107,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-08,150982,4534,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-09,153377,4891,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-10,155228,3520,EVERYONE,TRUE,2020-01-01,29.9,4.2
2020-01-11,158066,5157,EVERYONE,TRUE,2020-01-10,29.9,4.2
2020-01-12,141787,8942,EVERYONE,TRUE,2020-01-10,29.9,4.2
2020-01-13,105792,7967,EVERYONE,TRUE,2020-01-10,29.9,4.2
2020-01-14,163131,6721,EVERYONE,TRUE,2020-01-10,29.9,4.2
2020-01-15,138327,3165,EVERYONE,TRUE,2020-01-10,29.9,4.2
2020-01-16,139129,5870,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-17,146906,4769,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-18,141757,5089,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-19,143123,4118,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-20,144275,4034,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-21,156502,6820,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-22,152782,7008,EVERYONE,TRUE,2020-01-15,29.9,4.2
2020-01-23,154170,4894,EVERYONE,TRUE,2020-01-22,29.9,4.2
2020-01-24,140796,4225,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-25,138771,4844,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-26,136635,6119,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-27,137447,4422,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-28,139739,5204,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-29,141289,6328,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-30,152361,5985,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-01-31,127696,688,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-01,137289,823,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-02,142345,658,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-03,157267,611,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-04,134509,580,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-05,110249,550,EVERYONE,TRUE,2020-01-23,30.6,4.2
2020-02-06,122132,793,EVERYONE,TRUE,2020-02-05,30.6,4.2
2020-02-07,119239,296,EVERYONE,TRUE,2020-02-05,30.6,4.2
2020-02-08,118018,225,EVERYONE,TRUE,2020-02-07,30.6,4.2
2020-02-09,116519,378,EVERYONE,TRUE,2020-02-07,30.6,4.2
2020-02-10,117708,289,EVERYONE,TRUE,2020-02-09,30.6,4.2
2020-02-11,105448,336,EVERYONE,TRUE,2020-02-09,30.6,4.2
2020-02-12,133722,334,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-13,129771,269,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-14,108738,218,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-15,122044,153,EVERYONE,TRUE,2020-02-11,30.6,4.2
