DATE,DOWNLOADS
2019-11-22,102110
2019-11-23,114528
2019-11-24,100120
2019-11-25,92860
2019-11-26,108359
2019-11-27,93111
2019-11-28,103374
2019-11-29,124786
2019-11-30,161234
2019-12-01,151173
2019-12-02,216352
2019-12-03,200350
2019-12-04,189050
2019-12-05,201820
2019-12-06,180415
2019-12-07,174693
2019-12-08,169485
2019-12-09,178530
2019-12-10,182556
2019-12-11,179888
2019-12-12,170279
2019-12-13,166345
2019-12-14,163148
2019-12-15,157593
2019-12-16,157237
2019-12-17,159734
2019-12-18,156439
2019-12-19,204073
2019-12-20,202327
2019-12-21,184314
2019-12-22,175235
2019-12-23,169793
2019-12-24,169152
2019-12-25,161269
2019-12-26,150560
2019-12-27,149318
2019-12-28,156485
2019-12-29,152136
2019-12-30,152974
2019-12-31,155589
2020-01-01,149512
2020-01-02,145313
2020-01-03,149227
2020-01-04,152614
2020-01-05,154584
2020-01-06,153106
2020-01-07,156991
2020-01-08,150982
2020-01-09,153377
2020-01-10,155228
2020-01-11,158066
2020-01-12,141787
2020-01-13,105792
2020-01-14,163131
2020-01-15,138327
2020-01-16,139129
2020-01-17,146906
2020-01-18,141757
2020-01-19,143123
2020-01-20,144275
2020-01-21,156502
2020-01-22,152782
2020-01-23,154170
2020-01-24,140796
2020-01-25,138771
2020-01-26,136635
2020-01-27,137447
2020-01-28,139739
2020-01-29,141289
2020-01-30,152361
2020-01-31,127696
2020-02-01,137289
2020-02-02,142345
2020-02-03,157267
2020-02-04,134509
2020-02-05,110249
2020-02-06,122132
2020-02-07,119239
2020-02-08,118018
2020-02-09,116519
2020-02-10,117708
2020-02-11,105448
2020-02-12,133722
2020-02-13,129771
2020-02-14,108738
2020-02-15,122044
2020-02-16,109659
2020-02-17,128983
2020-02-18,149784
2020-02-19,153289
2020-02-20,161641
2020-02-21,154653
2020-02-22,133781
2020-02-23,146284
2020-02-24,133898
2020-02-25,138206
2020-02-26,154693
2020-02-27,76465
2020-02-28,118620
2020-02-29,118962
2020-03-01,118488
2020-03-02,121163
2020-03-03,126248
2020-03-04,111477
2020-03-05,110537
2020-03-06,112658
2020-03-07,110211
2020-03-08,109816
2020-03-09,110154
2020-03-10,108804
2020-03-11,116259
2020-03-12,115624
2020-03-13,112930
2020-03-14,100451
2020-03-15,110207
2020-03-16,116723
2020-03-17,117627
2020-03-18,113509
2020-03-19,116280
2020-03-20,118600
2020-03-21,113093
2020-03-22,101822
2020-03-23,102283
2020-03-24,103714
2020-03-25,102648
2020-03-26,107589
2020-03-27,95075
2020-03-28,97861
2020-03-29,87686
2020-03-30,98165
2020-03-31,97960
2020-04-01,90069
2020-04-02,96910
2020-04-03,97411
2020-04-04,93729
2020-04-05,104418
2020-04-06,120753
2020-04-07,119429
2020-04-08,116119
2020-04-09,86134
2020-04-10,93451
2020-04-11,86863
2020-04-12,83555
2020-04-13,86859
2020-04-14,74273
2020-04-15,73508
2020-04-16,67040
2020-04-17,51717
2020-04-18,48418
2020-04-19,64390
2020-04-20,56869
2020-04-21,58030
2020-04-22,68151
2020-04-23,61826
2020-04-24,50554
2020-04-25,57023
2020-04-26,55504
2020-04-27,60453
2020-04-28,64492
2020-04-29,64427
2020-04-30,59977
2020-05-01,63818
2020-05-02,58019
2020-05-03,58888
2020-05-04,52012
2020-05-05,61007
2020-05-06,60234
2020-05-07,59220
2020-05-08,52249
2020-05-09,62722
2020-05-10,57630
2020-05-11,56343
2020-05-12,54339
2020-05-13,56592
2020-05-14,56174
2020-05-15,50945
2020-05-16,45910
2020-05-17,56381
2020-05-18,55940
2020-05-19,58151
2020-05-20,53091
2020-05-21,53689
2020-05-22,49766
2020-05-23,36845
2020-05-24,47782
2020-05-25,47449
2020-05-26,48833
2020-05-27,48583
2020-05-28,47757
2020-05-29,48034
2020-05-30,41694
2020-05-31,48251
2020-06-01,46940
2020-06-02,50019
2020-06-03,43075
2020-06-04,47132
2020-06-05,39825
2020-06-06,40646
2020-06-07,43169
2020-06-08,42461
2020-06-09,46194
2020-06-10,41627
2020-06-11,43655
2020-06-12,45125
2020-06-13,49305
2020-06-14,50161
2020-06-15,50783
2020-06-16,51227
2020-06-17,50055
2020-06-18,50759
2020-06-19,49515
2020-06-20,49299
2020-06-21,50012
2020-06-22,49477
2020-06-23,57625
2020-06-24,57940
2020-06-25,58575
2020-06-26,59249
2020-06-27,58406
2020-06-28,60210
2020-06-29,62964
2020-06-30,60918
2020-07-01,164347
2020-07-02,156236
2020-07-03,146280
2020-07-04,152206
2020-07-05,142815
2020-07-06,145284
2020-07-07,157787
2020-07-08,153433
2020-07-09,152500
2020-07-10,161553
2020-07-11,152527
2020-07-12,141258
2020-07-13,148971
2020-07-14,145561
2020-07-15,146783
2020-07-16,152890
2020-07-17,163557
2020-07-18,162632
2020-07-19,159140
2020-07-20,148595
2020-07-21,155792
2020-07-22,156878
2020-07-23,164616
2020-07-24,168058
2020-07-25,151226
2020-07-26,148950
2020-07-27,150561
2020-07-28,165986
2020-07-29,159693
2020-07-30,168339
2020-07-31,170653
2020-08-01,169433
2020-08-02,156219
2020-08-03,165620
2020-08-04,156342
2020-08-05,165990
2020-08-06,168034
2020-08-07,168233
2020-08-08,165527
2020-08-09,163265
2020-08-10,165294
2020-08-11,169912
2020-08-12,171404
2020-08-13,167540
2020-08-14,167674
2020-08-15,166095
2020-08-16,163681
2020-08-17,164086
2020-08-18,161427
2020-08-19,161674
2020-08-20,163008
2020-08-21,165712
2020-08-22,160285
2020-08-23,156922
2020-08-24,162883
2020-08-25,164797
2020-08-26,162405
2020-08-27,160888
2020-08-28,160095
2020-08-29,166825
2020-08-30,160090
2020-08-31,159661
2020-09-01,167701
2020-09-02,155887
2020-09-03,155462
2020-09-04,162126
2020-09-05,165704
2020-09-06,157412
2020-09-07,167078
2020-09-08,162277
2020-09-09,159469
2020-09-10,162913
2020-09-11,159502
2020-09-12,162552
2020-09-13,163708
2020-09-14,171386
2020-09-15,159620
2020-09-16,165356
2020-09-17,158612
2020-09-18,167558
2020-09-19,165657
2020-09-20,161878
2020-09-21,157076
2020-09-22,161645
2020-09-23,167485
2020-09-24,167717
2020-09-25,159559
2020-09-26,161794
2020-09-27,161685
2020-09-28,159959
2020-09-29,158492
2020-09-30,165594
2020-10-01,155336
2020-10-02,171340
2020-10-03,162596
2020-10-04,156800
2020-10-05,157742
2020-10-06,161105
2020-10-07,160552
2020-10-08,168008
2020-10-09,158216
2020-10-10,161871
2020-10-11,158559
2020-10-12,168771
2020-10-13,160398
2020-10-14,166512
2020-10-15,159265
2020-10-16,157011
2020-10-17,159631
2020-10-18,170209
2020-10-19,157813
2020-10-20,156794
2020-10-21,160575
2020-10-22,165118
2020-10-23,169366
