tweet,Label
yeah I got 2 backups for all that. I just hate when that happen. I been strugglin for a week now...handle that tho,0
I hate using my BB  but love my iPhone. Haven't tried the new BB. My BB is provided by my corp. I don't get to pick which model,0
 Get fucking real dude.,1
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,1
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,1
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1
 WTF are you talking about Men? No men thats not a menage  that's just gay.,1
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,1
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,1
wow lol sounds like a lot of piss then hehehe,0
not a damn thang..the typical rap beef. one person worrying about what the next is doing and the other respondin etc etc,0
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,1
well damn!! where have you been when i have needed you 'Mother Time',0
watching without a trace too...hate when i miss the 1st 5 minutes when the person disappears!!!!!,0
which they do most of the time:-P I don't hate them either I wanted to be one once..but I figured out I couldn't live w/ myself,0
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",1
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,1
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,1
Shakespeare nerd!,1
you are SUCH a fucking dork,1
Heh. Fuck 'em WHERE?!?,1
damn it i totally forgot that one!,1
haha fuck i wish i was there :(,0
paranoid is wack as fuck...the best song on 808s is DEFINITELY Bad News,0
wow  damn I would have been pissed @ that...,1
nigga u geigh lmao! fuck yo finals beeeeeitch,1
in London  I hate thee :( ENJOY YOURSELVES!!! &lt;33333,0
lollipop lolipop...oh loli loli loli....duh duh dum dum dum *Pop* Damn  im so bad at cheeeering people up &lt;3,0
that sucks :(,1
"read that this morning. my fav is how they just straight up say ""cum shots""",1
You pretty sure Angel's ass is fake too huh? I hated that 'I wont answer cuz conroversy is good' shit. That means FAKE.,0
Unibroue 17 !!!! Another damn good Unibroue,1
damn your evil 60 minute IPA beckoning me from the fridge right now...,1
I hear that. I hate charging.,0
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,1
That sucks. My furnace started making funny noises the other day and I almost had a panic attack. I don't deal with cold well :),0
it pretty much is a fuck you card..,1
that karma is a bitch  HUH,1
don't get too fat or you'll turn into a boomer,1
"DAMN STRAIGHT
9na :)",0
I hate your job too.,0
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,1
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,1
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,1
hard to kick ass yourself with slippers on?  On it.,1
LOL! I'm not proud of my inability to deal with the cold :( I hate the treadmill too  but not as much as the cold...,0
I hate upping more than downing lol @seanzageek Its pretty awesome  AMD hasn't met release dates let alone beaten them in ages :),0
Awesome :) I hate updating the BIOS LOL,0
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,1
Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol,0
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,1
ok that sucks. Someone needs to remind them about progressive enhancment....,0
Omg that sucks  but it's SO funny,0
lol  i know what you mean. But i kinda am a nerd so yeah  but still,0
Damn  that sounds good...,1
they should have a wii loser..that way you can compete with your wii friends.,1
@markmancao haha. i love it! gay nights for all!,1
that's awesome! you're pretty damn good!,1
Faggoty fag fag. Gay secks man blowjob. Settle down.,1
Right. That wouldn't be creepy as fuck.,1
HOLY SHIT. Fuck that band.,1
Gay fag.,1
I hate that bands have wardrobes.,0
that sucks dude  sorry for your loss,0
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,1
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,1
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,1
okay cool.  I can help you guys this weekend.  Those routers are a bitch to get working some times.,0
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,1
i hate when shows take holiday breaks. its killer to my free time.,0
"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",1
It sucks to be done with exams n still be @ Mayag.,1
I'm such a pizza freak... Mmm.,0
Epic WINS for Fuck City&lt;3,1
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,1
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,1
fuck yes.  I hate them at work...,1
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,1
